date,wind_speed,wind_gust,ceiling,visibility,temp,dew_pnt,pressure
2015-01-01 00:53:00,5,15,22000,16093,-17,-83,10322
2015-01-01 01:53:00,5,15,22000,16093,-11,-89,10319
2015-01-01 15:53:00,5,21,1433,16093,6,-39,10294
2015-01-01 18:53:00,5,26,1372,16093,33,-78,10261
2015-01-01 20:53:00,5,21,1372,16093,44,-61,10262
2015-01-01 21:53:00,5,15,1494,16093,50,-56,10263
2015-01-01 22:53:00,5,15,1372,16093,44,-44,10263
2015-01-02 00:53:00,5,15,1676,16093,39,-28,10274
2015-01-02 01:53:00,5,31,1402,16093,44,-28,10272
2015-01-02 02:53:00,5,21,1524,16093,44,-17,10270
2015-01-02 14:53:00,5,21,518,16093,44,11,10276
2015-01-02 17:53:00,5,31,152,4828,44,33,10263
2015-01-02 18:53:00,5,15,152,4023,50,39,10260
2015-01-02 19:53:00,5,21,152,2414,50,39,10261
2015-01-02 20:53:00,5,31,152,8047,56,44,10254
2015-01-02 21:53:00,5,26,152,14484,56,44,10251
2015-01-02 22:53:00,5,15,152,16093,61,50,10251
2015-01-02 23:53:00,5,21,213,16093,61,50,10248
2015-01-03 00:53:00,5,21,945,16093,61,50,10245
2015-01-03 01:53:00,5,15,732,11265,61,56,10243
2015-01-03 03:53:00,5,21,122,2414,61,56,10223
2015-01-03 07:53:00,5,21,305,3219,72,72,10191
2015-01-03 09:53:00,5,21,183,9656,89,89,10184
2015-01-03 10:53:00,5,26,122,4023,100,94,10173
2015-01-03 11:53:00,5,51,183,14484,122,117,10170
2015-01-03 12:53:00,5,57,244,16093,128,117,10169
2015-01-03 13:53:00,5,88,244,11265,133,117,10166
2015-01-03 14:53:00,5,72,305,16093,133,122,10168
2015-01-03 15:53:00,5,67,305,16093,144,128,10163
2015-01-03 16:53:00,5,67,335,16093,150,133,10156
2015-01-03 17:53:00,5,77,457,16093,161,144,10146
2015-01-03 18:53:00,5,82,396,16093,167,144,10139
2015-01-03 19:53:00,5,77,488,16093,172,144,10135
2015-01-03 20:53:00,5,31,305,6437,161,150,10141
2015-01-03 21:53:00,5,41,2134,16093,156,150,10139
2015-01-03 22:53:00,5,41,1524,16093,156,150,10138
2015-01-03 23:53:00,5,41,2286,16093,156,144,10135
2015-01-04 00:53:00,5,31,2743,11265,150,144,10133
2015-01-04 01:53:00,5,46,2286,9656,156,144,10130
2015-01-04 02:53:00,5,77,2896,16093,156,144,10122
2015-01-04 03:53:00,5,31,3353,16093,156,144,10105
2015-01-04 04:53:00,5,26,366,16093,150,144,10111
2015-01-04 05:53:00,5,46,671,14484,156,144,10109
2015-01-04 06:53:00,5,62,488,16093,167,150,10100
2015-01-04 07:53:00,5,67,549,16093,172,150,10101
2015-01-04 08:53:00,5,41,945,8047,161,144,10116
2015-01-04 09:53:00,5,67,610,16093,144,111,10121
2015-01-04 10:53:00,5,36,823,16093,128,100,10131
2015-01-04 11:53:00,5,57,671,16093,111,67,10147
2015-01-04 13:53:00,5,31,1128,16093,100,50,10171
2015-01-04 14:53:00,5,46,1006,16093,94,44,10185
2015-01-04 15:53:00,5,36,853,16093,83,28,10191
2015-01-04 16:53:00,5,51,1158,16093,89,22,10193
2015-01-04 17:53:00,5,46,1067,16093,89,17,10195
2015-01-04 18:53:00,5,46,1158,16093,89,17,10204
2015-01-04 19:53:00,5,41,1372,16093,83,22,10216
2015-01-04 20:53:00,5,46,1829,16093,78,39,10232
2015-01-04 21:53:00,5,41,1372,16093,61,28,10247
2015-01-04 22:53:00,5,51,701,16093,50,11,10260
2015-01-04 23:53:00,5,57,1219,16093,50,6,10273
2015-01-05 00:53:00,5,46,1280,16093,44,0,10292
2015-01-05 01:53:00,5,51,1463,16093,39,-6,10301
2015-01-05 02:53:00,5,67,640,16093,17,-22,10314
2015-01-05 03:53:00,5,77,579,16093,0,-39,10326
2015-01-05 04:53:00,5,77,579,16093,-17,-56,10340
2015-01-05 05:53:00,5,46,579,16093,-22,-67,10346
2015-01-05 06:53:00,5,57,640,16093,-22,-72,10360
2015-01-05 07:53:00,5,51,701,16093,-33,-78,10364
2015-01-05 08:53:00,5,51,701,16093,-44,-94,10371
2015-01-05 09:53:00,5,46,22000,16093,-50,-100,10371
2015-01-05 10:53:00,5,41,22000,16093,-56,-100,10380
2015-01-05 11:53:00,5,36,22000,16093,-61,-106,10385
2015-01-05 12:53:00,5,62,22000,16093,-61,-111,10397
2015-01-05 13:53:00,5,57,22000,16093,-61,-111,10404
2015-01-05 14:53:00,5,36,22000,16093,-44,-111,10405
2015-01-05 15:53:00,5,26,22000,16093,-33,-117,10406
2015-01-05 16:53:00,5,31,22000,16093,-22,-128,10402
2015-01-05 17:53:00,5,15,22000,16093,-17,-133,10386
2015-01-05 18:53:00,5,31,22000,16093,0,-122,10374
2015-01-05 22:53:00,5,21,22000,16093,-11,-111,10348
2015-01-05 23:53:00,5,21,22000,16093,-17,-106,10343
2015-01-06 01:53:00,5,15,22000,16093,-22,-94,10322
2015-01-06 02:53:00,5,26,22000,16093,-28,-89,10306
2015-01-06 03:53:00,5,26,22000,16093,-33,-89,10292
2015-01-06 04:53:00,5,21,22000,16093,-44,-89,10283
2015-01-06 05:53:00,5,15,22000,16093,-39,-89,10286
2015-01-06 07:53:00,5,21,22000,16093,-39,-83,10282
2015-01-06 08:53:00,5,36,22000,16093,-6,-72,10279
2015-01-06 09:53:00,5,36,22000,16093,-11,-67,10278
2015-01-06 10:53:00,5,26,22000,16093,-17,-67,10273
2015-01-06 12:53:00,5,26,7620,16093,0,-61,10279
2015-01-06 13:53:00,5,36,22000,16093,11,-61,10289
2015-01-06 14:53:00,5,36,22000,16093,22,-61,10294
2015-01-06 15:53:00,5,62,7620,16093,33,-61,10295
2015-01-06 16:53:00,5,36,7620,16093,50,-61,10290
2015-01-06 17:53:00,5,26,7620,16093,56,-61,10280
2015-01-06 18:53:00,5,36,6096,16093,56,-56,10272
2015-01-06 19:53:00,5,26,22000,16093,61,-56,10271
2015-01-06 20:53:00,5,36,22000,16093,56,-56,10275
2015-01-06 21:53:00,5,46,7620,16093,44,-56,10279
2015-01-06 22:53:00,5,41,22000,16093,22,-56,10282
2015-01-07 00:53:00,5,31,22000,16093,6,-61,10286
2015-01-07 01:53:00,5,21,22000,16093,-6,-61,10291
2015-01-07 02:53:00,5,21,22000,16093,-17,-67,10290
2015-01-07 03:53:00,5,36,22000,16093,-17,-67,10295
2015-01-07 04:53:00,5,31,22000,16093,-22,-72,10287
2015-01-07 05:53:00,5,31,22000,16093,-28,-78,10286
2015-01-07 06:53:00,5,15,22000,16093,-28,-72,10279
2015-01-07 07:53:00,5,26,3658,16093,-28,-72,10286
2015-01-07 08:53:00,5,26,3658,16093,-28,-83,10293
