index,FL_DATE,OP_CARRIER_AIRLINE_ID,TAIL_NUM,OP_CARRIER_FL_NUM,ORIGIN,DEST,CRS_DEP_TIME,DEP_TIME,ICAO,LATITUDE,LONGITUDE,LOCAL_TIMEZONE,ACTL_DEP_TIME_DATE,SCHD_DEP_TIME_DATE,ACTL_DEP_TIME_DATE_CENT,SCHD_DEP_TIME_DATE_CENT
16,2023-01-01,19393,N1806U,1622,DEN,SFO,2200,2257,KDEN,39.8617,-104.673,America/Denver,2023-01-01 22:57:00-07:00,2023-01-01 22:00:00-07:00,2023-01-01 23:57:00-06:00,2023-01-01 23:00:00-06:00
41,2023-01-01,19393,N1810U,813,DEN,TUS,1440,1523,KDEN,39.8617,-104.673,America/Denver,2023-01-01 15:23:00-07:00,2023-01-01 14:40:00-07:00,2023-01-01 16:23:00-06:00,2023-01-01 15:40:00-06:00
68,2023-01-01,19393,N207WN,3247,DEN,MCO,1520,1550,KDEN,39.8617,-104.673,America/Denver,2023-01-01 15:50:00-07:00,2023-01-01 15:20:00-07:00,2023-01-01 16:50:00-06:00,2023-01-01 16:20:00-06:00
78,2023-01-01,19393,N210WN,2304,DEN,MCI,1350,1441,KDEN,39.8617,-104.673,America/Denver,2023-01-01 14:41:00-07:00,2023-01-01 13:50:00-07:00,2023-01-01 15:41:00-06:00,2023-01-01 14:50:00-06:00
89,2023-01-01,19393,N211WN,3402,DEN,SNA,0730,0725,KDEN,39.8617,-104.673,America/Denver,2023-01-01 07:25:00-07:00,2023-01-01 07:30:00-07:00,2023-01-01 08:25:00-06:00,2023-01-01 08:30:00-06:00
100,2023-01-01,19393,N214WN,739,DEN,STL,0850,0921,KDEN,39.8617,-104.673,America/Denver,2023-01-01 09:21:00-07:00,2023-01-01 08:50:00-07:00,2023-01-01 10:21:00-06:00,2023-01-01 09:50:00-06:00
121,2023-01-01,19393,N217JC,3727,DEN,LAX,1645,1749,KDEN,39.8617,-104.673,America/Denver,2023-01-01 17:49:00-07:00,2023-01-01 16:45:00-07:00,2023-01-01 18:49:00-06:00,2023-01-01 17:45:00-06:00
152,2023-01-01,19393,N222WN,245,DEN,MCO,0515,0527,KDEN,39.8617,-104.673,America/Denver,2023-01-01 05:27:00-07:00,2023-01-01 05:15:00-07:00,2023-01-01 06:27:00-06:00,2023-01-01 06:15:00-06:00
156,2023-01-01,19393,N223WN,2126,DEN,TUL,1105,1104,KDEN,39.8617,-104.673,America/Denver,2023-01-01 11:04:00-07:00,2023-01-01 11:05:00-07:00,2023-01-01 12:04:00-06:00,2023-01-01 12:05:00-06:00
167,2023-01-01,19393,N227WN,1734,DEN,OMA,1330,1351,KDEN,39.8617,-104.673,America/Denver,2023-01-01 13:51:00-07:00,2023-01-01 13:30:00-07:00,2023-01-01 14:51:00-06:00,2023-01-01 14:30:00-06:00
205,2023-01-01,19393,N236WN,322,DEN,BOI,0835,0830,KDEN,39.8617,-104.673,America/Denver,2023-01-01 08:30:00-07:00,2023-01-01 08:35:00-07:00,2023-01-01 09:30:00-06:00,2023-01-01 09:35:00-06:00
218,2023-01-01,19393,N238WN,2181,DEN,PHX,1450,1510,KDEN,39.8617,-104.673,America/Denver,2023-01-01 15:10:00-07:00,2023-01-01 14:50:00-07:00,2023-01-01 16:10:00-06:00,2023-01-01 15:50:00-06:00
244,2023-01-01,19393,N243WN,441,DEN,MDW,1410,1420,KDEN,39.8617,-104.673,America/Denver,2023-01-01 14:20:00-07:00,2023-01-01 14:10:00-07:00,2023-01-01 15:20:00-06:00,2023-01-01 15:10:00-06:00
