date,icao,weather_delay
2015-01-04 14:10:00+00:00,KBNA,22.0
2015-01-04 16:20:00+00:00,KBNA,44.0
2015-01-05 01:55:00+00:00,KBNA,20.0
2015-01-06 02:55:00+00:00,KBNA,86.0
2015-01-06 15:30:00+00:00,KBNA,35.0
2015-01-07 16:30:00+00:00,KBNA,23.0
2015-01-07 22:55:00+00:00,KBNA,9.0
2015-01-12 16:00:00+00:00,KBNA,18.0
2015-01-21 14:20:00+00:00,KBNA,86.0
2015-01-23 23:45:00+00:00,KBNA,42.0
2015-01-24 00:15:00+00:00,KBNA,48.0
2015-01-24 14:00:00+00:00,KBNA,2.0
2015-01-26 16:00:00+00:00,KBNA,151.0
2015-01-26 23:30:00+00:00,KBNA,3.0
2015-01-30 16:05:00+00:00,KBNA,40.0
2015-01-30 22:00:00+00:00,KBNA,115.0
2015-02-02 12:30:00+00:00,KBNA,69.0
2015-02-02 12:55:00+00:00,KBNA,223.0
2015-02-02 16:50:00+00:00,KBNA,7.0
2015-02-02 20:11:00+00:00,KBNA,56.0
2015-02-02 22:25:00+00:00,KBNA,34.0
2015-02-03 00:07:00+00:00,KBNA,2.0
2015-02-09 20:25:00+00:00,KBNA,58.0
2015-02-11 20:05:00+00:00,KBNA,15.0
2015-02-12 20:05:00+00:00,KBNA,1.0
2015-02-12 22:55:00+00:00,KBNA,30.0
2015-02-14 16:55:00+00:00,KBNA,51.0
2015-02-14 23:45:00+00:00,KBNA,102.0
2015-02-16 13:26:00+00:00,KBNA,235.0
2015-02-17 11:50:00+00:00,KBNA,272.0
2015-02-17 12:05:00+00:00,KBNA,26.0
2015-02-17 12:25:00+00:00,KBNA,133.0
2015-02-17 12:30:00+00:00,KBNA,72.0
2015-02-17 13:25:00+00:00,KBNA,300.0
2015-02-17 13:30:00+00:00,KBNA,11.0
2015-02-17 14:00:00+00:00,KBNA,201.0
2015-02-17 14:00:00+00:00,KBNA,341.0
2015-02-17 15:15:00+00:00,KBNA,14.0
2015-02-17 15:19:00+00:00,KBNA,240.0
2015-02-17 16:05:00+00:00,KBNA,10.0
2015-02-17 18:41:00+00:00,KBNA,9.0
2015-02-17 19:15:00+00:00,KBNA,17.0
2015-02-17 19:57:00+00:00,KBNA,135.0
2015-02-17 20:33:00+00:00,KBNA,25.0
2015-02-17 20:49:00+00:00,KBNA,33.0
2015-02-17 21:55:00+00:00,KBNA,48.0
2015-02-17 23:09:00+00:00,KBNA,3.0
2015-02-17 23:58:00+00:00,KBNA,9.0
2015-02-18 00:07:00+00:00,KBNA,4.0
2015-02-18 00:25:00+00:00,KBNA,6.0
2015-02-18 00:25:00+00:00,KBNA,8.0
2015-02-18 11:35:00+00:00,KBNA,44.0
2015-02-18 11:55:00+00:00,KBNA,49.0
2015-02-18 12:02:00+00:00,KBNA,156.0
2015-02-18 12:05:00+00:00,KBNA,70.0
2015-02-18 12:09:00+00:00,KBNA,208.0
2015-02-18 12:25:00+00:00,KBNA,56.0
2015-02-18 12:30:00+00:00,KBNA,16.0
2015-02-18 13:00:00+00:00,KBNA,22.0
2015-02-18 13:04:00+00:00,KBNA,169.0
2015-02-18 13:26:00+00:00,KBNA,48.0
2015-02-18 13:30:00+00:00,KBNA,58.0
2015-02-18 13:45:00+00:00,KBNA,97.0
2015-02-18 14:00:00+00:00,KBNA,52.0
2015-02-18 14:00:00+00:00,KBNA,77.0
2015-02-18 14:12:00+00:00,KBNA,48.0
2015-02-18 14:17:00+00:00,KBNA,9.0
2015-02-18 14:25:00+00:00,KBNA,126.0
2015-02-18 18:00:00+00:00,KBNA,7.0
2015-02-18 19:15:00+00:00,KBNA,287.0
2015-02-18 21:25:00+00:00,KBNA,16.0
2015-02-18 23:30:00+00:00,KBNA,7.0
2015-02-19 00:25:00+00:00,KBNA,7.0
2015-02-19 12:05:00+00:00,KBNA,7.0
2015-02-19 12:30:00+00:00,KBNA,2.0
2015-02-19 13:45:00+00:00,KBNA,267.0
2015-02-19 14:10:00+00:00,KBNA,15.0
2015-02-20 23:06:00+00:00,KBNA,8.0
2015-02-21 12:30:00+00:00,KBNA,5.0
2015-02-21 14:20:00+00:00,KBNA,4.0
2015-02-21 14:25:00+00:00,KBNA,125.0
2015-02-21 19:15:00+00:00,KBNA,8.0
2015-02-21 20:49:00+00:00,KBNA,6.0
2015-02-22 00:25:00+00:00,KBNA,8.0
2015-02-22 12:45:00+00:00,KBNA,8.0
2015-02-22 15:20:00+00:00,KBNA,7.0
2015-02-22 16:30:00+00:00,KBNA,7.0
2015-02-24 15:15:00+00:00,KBNA,101.0
2015-02-25 00:25:00+00:00,KBNA,34.0
2015-02-27 19:15:00+00:00,KBNA,10.0
2015-02-28 00:10:00+00:00,KBNA,56.0
2015-02-28 13:30:00+00:00,KBNA,74.0
2015-03-02 19:05:00+00:00,KBNA,76.0
2015-03-03 20:25:00+00:00,KBNA,104.0
2015-03-03 20:49:00+00:00,KBNA,4.0
2015-03-04 13:50:00+00:00,KBNA,26.0
2015-03-04 18:25:00+00:00,KBNA,15.0
2015-03-05 00:25:00+00:00,KBNA,2.0
2015-03-05 11:30:00+00:00,KBNA,328.0
2015-03-05 12:45:00+00:00,KBNA,411.0
2015-03-05 13:04:00+00:00,KBNA,103.0
2015-03-05 13:30:00+00:00,KBNA,183.0
2015-03-05 14:00:00+00:00,KBNA,399.0
2015-03-05 14:15:00+00:00,KBNA,346.0
2015-03-05 14:18:00+00:00,KBNA,38.0
2015-03-05 14:25:00+00:00,KBNA,27.0
2015-03-05 16:50:00+00:00,KBNA,9.0
2015-03-05 17:00:00+00:00,KBNA,236.0
2015-03-05 18:00:00+00:00,KBNA,16.0
2015-03-05 18:50:00+00:00,KBNA,32.0
2015-03-05 20:30:00+00:00,KBNA,6.0
2015-03-05 20:49:00+00:00,KBNA,13.0
2015-03-05 21:25:00+00:00,KBNA,19.0
2015-03-05 22:00:00+00:00,KBNA,12.0
2015-03-05 22:10:00+00:00,KBNA,19.0
2015-03-05 23:30:00+00:00,KBNA,8.0
2015-03-06 00:07:00+00:00,KBNA,2.0
2015-03-06 01:05:00+00:00,KBNA,30.0
2015-03-06 12:44:00+00:00,KBNA,22.0
2015-03-06 16:50:00+00:00,KBNA,2.0
2015-03-08 21:50:00+00:00,KBNA,23.0
2015-03-11 10:45:00+00:00,KBNA,33.0
2015-03-11 12:50:00+00:00,KBNA,51.0
2015-03-20 12:50:00+00:00,KBNA,22.0
2015-03-20 13:20:00+00:00,KBNA,156.0
2015-03-21 23:07:00+00:00,KBNA,9.0
2015-03-23 01:05:00+00:00,KBNA,47.0
2015-03-25 19:11:00+00:00,KBNA,16.0
2015-03-26 15:05:00+00:00,KBNA,17.0
2015-03-26 19:11:00+00:00,KBNA,1.0
2015-03-26 21:50:00+00:00,KBNA,102.0
2015-03-27 21:50:00+00:00,KBNA,16.0
2015-04-02 21:55:00+00:00,KBNA,16.0
2015-04-02 22:05:00+00:00,KBNA,14.0
2015-04-02 23:10:00+00:00,KBNA,3.0
2015-04-03 12:50:00+00:00,KBNA,88.0
2015-04-03 21:50:00+00:00,KBNA,45.0
2015-04-03 21:55:00+00:00,KBNA,51.0
2015-04-03 22:05:00+00:00,KBNA,31.0
2015-04-03 22:18:00+00:00,KBNA,39.0
2015-04-03 22:30:00+00:00,KBNA,39.0
2015-04-07 20:00:00+00:00,KBNA,26.0
2015-04-08 12:20:00+00:00,KBNA,84.0
2015-04-08 19:00:00+00:00,KBNA,14.0
