date,icao,weather_delay,wind_speed,wind_gust,ceiling,visibility,temp,dew_pnt,pressure
2015-01-04 14:10:00+00:00,KBNA,22.0,5,31,1128,16093,100,50,10171
2015-01-04 16:20:00+00:00,KBNA,44.0,5,36,853,16093,83,28,10191
2015-01-05 01:55:00+00:00,KBNA,20.0,5,51,1463,16093,39,-6,10301
2015-01-06 02:55:00+00:00,KBNA,86.0,5,26,22000,16093,-28,-89,10306
2015-01-06 15:30:00+00:00,KBNA,35.0,5,62,7620,16093,33,-61,10295
2015-01-07 16:30:00+00:00,KBNA,23.0,5,77,853,11265,-56,-111,10350
2015-01-07 22:55:00+00:00,KBNA,9.0,5,108,22000,16093,-106,-206,10419
2015-01-12 16:00:00+00:00,KBNA,18.0,5,21,61,1609,78,72,10233
2015-01-21 14:20:00+00:00,KBNA,86.0,5,15,22000,16093,17,0,10215
2015-01-23 23:45:00+00:00,KBNA,42.0,5,36,122,1609,22,17,10145
2015-01-24 00:15:00+00:00,KBNA,48.0,5,36,122,1609,22,17,10145
2015-01-24 14:00:00+00:00,KBNA,2.0,5,21,22000,6437,-17,-22,10148
2015-01-26 16:00:00+00:00,KBNA,151.0,5,57,427,16093,6,-22,10169
2015-01-26 23:30:00+00:00,KBNA,3.0,5,21,1524,12875,11,-17,10144
2015-01-30 16:05:00+00:00,KBNA,40.0,5,41,22000,16093,50,-61,10328
2015-01-30 22:00:00+00:00,KBNA,115.0,5,36,22000,16093,67,-67,10305
2015-02-02 12:30:00+00:00,KBNA,69.0,5,88,732,16093,-17,-67,10179
2015-02-02 12:55:00+00:00,KBNA,223.0,5,88,732,16093,-17,-67,10179
2015-02-02 16:50:00+00:00,KBNA,7.0,5,67,792,16093,-28,-78,10237
2015-02-02 20:11:00+00:00,KBNA,56.0,5,46,853,16093,-17,-83,10244
2015-02-02 22:25:00+00:00,KBNA,34.0,5,31,823,16093,-22,-78,10261
2015-02-03 00:07:00+00:00,KBNA,2.0,5,41,823,16093,-22,-83,10266
2015-02-09 20:25:00+00:00,KBNA,58.0,5,72,427,11265,39,6,10153
2015-02-11 20:05:00+00:00,KBNA,15.0,5,36,7620,16093,117,-17,10185
2015-02-12 20:05:00+00:00,KBNA,1.0,5,62,22000,16093,0,-117,10280
2015-02-12 22:55:00+00:00,KBNA,30.0,5,72,22000,16093,-17,-128,10294
2015-02-14 16:55:00+00:00,KBNA,51.0,5,41,2591,16093,72,-56,10179
2015-02-14 23:45:00+00:00,KBNA,102.0,5,88,1158,16093,28,-33,10212
2015-02-16 13:26:00+00:00,KBNA,235.0,5,57,1341,3219,-22,-39,10185
2015-02-17 11:50:00+00:00,KBNA,272.0,5,21,22000,14484,-100,-122,10198
2015-02-17 12:05:00+00:00,KBNA,26.0,5,21,22000,14484,-100,-122,10198
2015-02-17 12:25:00+00:00,KBNA,133.0,5,26,22000,14484,-100,-122,10209
2015-02-17 12:30:00+00:00,KBNA,72.0,5,26,22000,14484,-100,-122,10209
2015-02-17 13:25:00+00:00,KBNA,300.0,5,21,22000,14484,-89,-111,10209
2015-02-17 13:30:00+00:00,KBNA,11.0,5,21,22000,14484,-89,-111,10209
2015-02-17 14:00:00+00:00,KBNA,201.0,5,21,22000,14484,-89,-111,10209
2015-02-17 14:00:00+00:00,KBNA,341.0,5,21,22000,14484,-89,-111,10209
2015-02-17 15:15:00+00:00,KBNA,14.0,5,15,305,14484,-83,-106,10217
2015-02-17 15:19:00+00:00,KBNA,240.0,5,15,305,14484,-83,-106,10217
2015-02-17 16:05:00+00:00,KBNA,10.0,5,15,518,16093,-56,-94,10216
2015-02-17 18:41:00+00:00,KBNA,9.0,5,26,549,16093,-50,-89,10211
2015-02-17 19:15:00+00:00,KBNA,17.0,5,26,6096,16093,-33,-89,10194
2015-02-17 19:57:00+00:00,KBNA,135.0,5,26,6096,16093,-33,-89,10194
2015-02-17 20:33:00+00:00,KBNA,25.0,5,26,6096,16093,-33,-89,10194
2015-02-17 20:49:00+00:00,KBNA,33.0,5,26,6096,16093,-33,-89,10194
2015-02-17 21:55:00+00:00,KBNA,48.0,5,21,853,16093,-33,-72,10195
2015-02-17 23:09:00+00:00,KBNA,3.0,5,31,22000,16093,-50,-72,10189
2015-02-17 23:58:00+00:00,KBNA,9.0,5,31,22000,16093,-50,-72,10189
2015-02-18 00:07:00+00:00,KBNA,4.0,5,31,22000,16093,-50,-72,10189
2015-02-18 00:25:00+00:00,KBNA,6.0,5,31,22000,16093,-50,-72,10189
2015-02-18 00:25:00+00:00,KBNA,8.0,5,31,22000,16093,-50,-72,10189
2015-02-18 11:35:00+00:00,KBNA,44.0,5,26,427,4828,-28,-44,10143
2015-02-18 11:55:00+00:00,KBNA,49.0,5,26,427,4828,-28,-44,10143
2015-02-18 12:02:00+00:00,KBNA,156.0,5,26,427,4828,-28,-44,10143
2015-02-18 12:05:00+00:00,KBNA,70.0,5,26,427,4828,-28,-44,10143
2015-02-18 12:09:00+00:00,KBNA,208.0,5,26,427,4828,-28,-44,10143
2015-02-18 12:25:00+00:00,KBNA,56.0,5,72,884,2414,-33,-56,10159
2015-02-18 12:30:00+00:00,KBNA,16.0,5,72,884,2414,-33,-56,10159
2015-02-18 13:00:00+00:00,KBNA,22.0,5,72,884,2414,-33,-56,10159
2015-02-18 13:04:00+00:00,KBNA,169.0,5,72,884,2414,-33,-56,10159
2015-02-18 13:26:00+00:00,KBNA,48.0,5,72,732,11265,-56,-111,10183
2015-02-18 13:30:00+00:00,KBNA,58.0,5,72,732,11265,-56,-111,10183
2015-02-18 13:45:00+00:00,KBNA,97.0,5,72,732,11265,-56,-111,10183
2015-02-18 14:00:00+00:00,KBNA,52.0,5,72,732,11265,-56,-111,10183
2015-02-18 14:00:00+00:00,KBNA,77.0,5,72,732,11265,-56,-111,10183
2015-02-18 14:12:00+00:00,KBNA,48.0,5,72,732,11265,-56,-111,10183
2015-02-18 14:17:00+00:00,KBNA,9.0,5,72,732,11265,-56,-111,10183
2015-02-18 14:25:00+00:00,KBNA,126.0,5,88,22000,16093,-56,-128,10199
2015-02-18 18:00:00+00:00,KBNA,7.0,5,67,1372,16093,-39,-122,10207
2015-02-18 19:15:00+00:00,KBNA,287.0,5,82,1524,16093,-33,-133,10208
2015-02-18 21:25:00+00:00,KBNA,16.0,5,62,1676,16093,-50,-144,10227
2015-02-18 23:30:00+00:00,KBNA,7.0,5,31,22000,16093,-67,-139,10240
2015-02-19 00:25:00+00:00,KBNA,7.0,5,46,22000,16093,-72,-133,10249
2015-02-19 12:05:00+00:00,KBNA,7.0,5,15,22000,16093,-144,-189,10307
2015-02-19 12:30:00+00:00,KBNA,2.0,5,15,22000,16093,-139,-189,10313
2015-02-19 13:45:00+00:00,KBNA,267.0,5,36,22000,16093,-128,-200,10321
2015-02-19 14:10:00+00:00,KBNA,15.0,5,36,22000,16093,-128,-200,10321
2015-02-20 23:06:00+00:00,KBNA,8.0,5,46,1402,2414,-39,-61,10243
2015-02-21 12:30:00+00:00,KBNA,5.0,5,108,1494,9656,17,-6,10132
2015-02-21 14:20:00+00:00,KBNA,4.0,5,82,914,12875,22,0,10138
2015-02-21 14:25:00+00:00,KBNA,125.0,5,98,701,16093,33,11,10130
2015-02-21 19:15:00+00:00,KBNA,8.0,5,46,914,4828,50,44,10118
2015-02-21 20:49:00+00:00,KBNA,6.0,5,31,1524,4023,56,50,10121
2015-02-22 00:25:00+00:00,KBNA,8.0,5,41,183,3219,50,44,10164
2015-02-22 12:45:00+00:00,KBNA,8.0,5,51,122,3219,6,-6,10241
2015-02-22 15:20:00+00:00,KBNA,7.0,5,46,183,16093,17,0,10256
2015-02-22 16:30:00+00:00,KBNA,7.0,5,46,305,14484,28,0,10264
2015-02-24 15:15:00+00:00,KBNA,101.0,5,15,2286,16093,-39,-133,10226
2015-02-25 00:25:00+00:00,KBNA,34.0,5,26,22000,16093,6,-111,10163
2015-02-27 19:15:00+00:00,KBNA,10.0,5,41,22000,16093,-6,-117,10348
2015-02-28 00:10:00+00:00,KBNA,56.0,5,41,22000,16093,-22,-122,10353
2015-02-28 13:30:00+00:00,KBNA,74.0,5,31,2438,16093,-28,-111,10373
2015-03-02 19:05:00+00:00,KBNA,76.0,5,21,22000,16093,72,-22,10301
2015-03-03 20:25:00+00:00,KBNA,104.0,5,51,457,16093,172,139,10146
2015-03-03 20:49:00+00:00,KBNA,4.0,5,51,457,16093,172,139,10146
2015-03-04 13:50:00+00:00,KBNA,26.0,5,15,152,1609,106,100,10127
2015-03-04 18:25:00+00:00,KBNA,15.0,5,57,213,3219,78,67,10135
2015-03-05 00:25:00+00:00,KBNA,2.0,5,67,244,12875,11,-6,10189
2015-03-05 11:30:00+00:00,KBNA,328.0,5,46,427,1609,-61,-72,10248
2015-03-05 12:45:00+00:00,KBNA,411.0,5,62,152,805,-61,-78,10252
2015-03-05 13:04:00+00:00,KBNA,103.0,5,62,152,805,-61,-78,10252
2015-03-05 13:30:00+00:00,KBNA,183.0,5,67,488,4828,-56,-83,10265
2015-03-05 14:00:00+00:00,KBNA,399.0,5,67,488,4828,-56,-83,10265
2015-03-05 14:15:00+00:00,KBNA,346.0,5,67,488,4828,-56,-83,10265
2015-03-05 14:18:00+00:00,KBNA,38.0,5,67,488,4828,-56,-83,10265
2015-03-05 14:25:00+00:00,KBNA,27.0,5,51,488,12875,-56,-78,10279
2015-03-05 16:50:00+00:00,KBNA,9.0,5,51,518,12875,-50,-78,10291
2015-03-05 17:00:00+00:00,KBNA,236.0,5,51,518,12875,-50,-78,10291
2015-03-05 18:00:00+00:00,KBNA,16.0,5,51,518,16093,-50,-78,10306
2015-03-05 18:50:00+00:00,KBNA,32.0,5,57,518,8047,-50,-78,10305
2015-03-05 20:30:00+00:00,KBNA,6.0,5,67,701,16093,-28,-78,10314
2015-03-05 20:49:00+00:00,KBNA,13.0,5,67,701,16093,-28,-78,10314
2015-03-05 21:25:00+00:00,KBNA,19.0,5,62,7620,16093,-28,-94,10320
2015-03-05 22:00:00+00:00,KBNA,12.0,5,62,7620,16093,-28,-94,10320
2015-03-05 22:10:00+00:00,KBNA,19.0,5,62,7620,16093,-28,-94,10320
2015-03-05 23:30:00+00:00,KBNA,8.0,5,41,22000,16093,-50,-106,10336
2015-03-06 00:07:00+00:00,KBNA,2.0,5,41,22000,16093,-50,-106,10336
2015-03-06 01:05:00+00:00,KBNA,30.0,5,41,22000,16093,-56,-111,10343
2015-03-06 12:44:00+00:00,KBNA,22.0,5,21,22000,16093,-111,-144,10363
2015-03-06 16:50:00+00:00,KBNA,2.0,5,21,22000,16093,-111,-144,10363
2015-03-08 21:50:00+00:00,KBNA,23.0,5,36,6096,16093,172,-39,10219
2015-03-11 10:45:00+00:00,KBNA,33.0,5,36,152,8047,122,117,10198
2015-03-11 12:50:00+00:00,KBNA,51.0,5,21,213,6437,117,106,10214
2015-03-20 12:50:00+00:00,KBNA,22.0,5,26,1372,6437,100,89,10198
2015-03-20 13:20:00+00:00,KBNA,156.0,5,26,1372,6437,100,89,10198
2015-03-21 23:07:00+00:00,KBNA,9.0,5,15,7010,16093,156,39,10197
2015-03-23 01:05:00+00:00,KBNA,47.0,5,31,3048,16093,144,72,10165
2015-03-25 19:11:00+00:00,KBNA,16.0,5,72,1311,16093,244,133,10172
2015-03-26 15:05:00+00:00,KBNA,17.0,5,26,1158,16093,189,150,10112
2015-03-26 19:11:00+00:00,KBNA,1.0,5,62,305,6437,106,83,10116
2015-03-26 21:50:00+00:00,KBNA,102.0,5,57,366,14484,78,61,10130
2015-03-27 21:50:00+00:00,KBNA,16.0,5,36,762,16093,56,22,10167
2015-04-02 21:55:00+00:00,KBNA,16.0,5,88,1402,16093,233,150,10134
2015-04-02 22:05:00+00:00,KBNA,14.0,5,88,1402,16093,233,150,10134
2015-04-02 23:10:00+00:00,KBNA,3.0,5,36,22000,16093,233,144,10140
2015-04-03 12:50:00+00:00,KBNA,88.0,5,36,1676,16093,206,156,10135
2015-04-03 21:50:00+00:00,KBNA,45.0,5,57,1829,11265,250,156,10077
2015-04-03 21:55:00+00:00,KBNA,51.0,5,57,1829,11265,250,156,10077
2015-04-03 22:05:00+00:00,KBNA,31.0,5,57,1829,11265,250,156,10077
2015-04-03 22:18:00+00:00,KBNA,39.0,5,57,1829,11265,250,156,10077
2015-04-03 22:30:00+00:00,KBNA,39.0,5,36,792,8047,183,172,10108
2015-04-07 20:00:00+00:00,KBNA,26.0,5,46,1219,16093,239,178,10176
2015-04-08 12:20:00+00:00,KBNA,84.0,5,21,1524,4828,172,167,10183
2015-04-08 19:00:00+00:00,KBNA,14.0,5,77,6096,16093,283,167,10158
2015-04-09 12:20:00+00:00,KBNA,55.0,5,31,5486,16093,206,172,10145
2015-04-09 17:25:00+00:00,KBNA,49.0,5,82,1829,16093,267,178,10148
2015-04-10 19:00:00+00:00,KBNA,59.0,5,36,6096,16093,183,67,10185
2015-04-10 19:31:00+00:00,KBNA,20.0,5,36,6096,16093,183,67,10185
2015-04-12 00:15:00+00:00,KBNA,79.0,5,46,22000,16093,183,17,10210
2015-04-12 11:40:00+00:00,KBNA,26.0,5,15,22000,16093,239,44,10201
2015-04-13 10:30:00+00:00,KBNA,30.0,5,21,945,16093,189,128,10193
2015-04-13 11:20:00+00:00,KBNA,72.0,5,21,945,16093,189,128,10193
2015-04-13 19:25:00+00:00,KBNA,11.0,5,26,244,4828,194,183,10172
2015-04-13 22:36:00+00:00,KBNA,4.0,5,26,457,16093,206,189,10161
2015-04-15 17:50:00+00:00,KBNA,12.0,5,15,274,16093,194,172,10173
2015-04-15 23:45:00+00:00,KBNA,14.0,5,31,22000,16093,211,178,10158
2015-04-16 00:00:00+00:00,KBNA,8.0,5,31,22000,16093,211,178,10158
2015-04-16 00:40:00+00:00,KBNA,21.0,5,41,853,6437,194,183,10166
2015-04-16 11:25:00+00:00,KBNA,16.0,5,31,427,16093,167,156,10188
2015-04-16 12:45:00+00:00,KBNA,18.0,5,46,427,16093,172,161,10194
2015-04-16 12:50:00+00:00,KBNA,4.0,5,46,427,16093,172,161,10194
2015-04-16 12:50:00+00:00,KBNA,13.0,5,46,427,16093,172,161,10194
2015-04-16 12:50:00+00:00,KBNA,14.0,5,46,427,16093,172,161,10194
2015-04-16 12:55:00+00:00,KBNA,20.0,5,46,427,16093,172,161,10194
2015-04-17 00:25:00+00:00,KBNA,15.0,5,46,488,16093,178,150,10192
2015-04-17 00:45:00+00:00,KBNA,23.0,5,46,488,16093,178,150,10192
2015-04-17 23:40:00+00:00,KBNA,202.0,5,21,7620,16093,167,150,10164
2015-04-20 11:45:00+00:00,KBNA,113.0,5,26,610,16093,150,133,10029
2015-04-24 20:55:00+00:00,KBNA,164.0,5,36,7620,16093,194,-11,10151
2015-04-24 21:25:00+00:00,KBNA,59.0,5,36,7620,16093,194,-11,10151
2015-04-24 22:36:00+00:00,KBNA,66.0,5,26,3048,16093,167,33,10143
2015-04-24 23:40:00+00:00,KBNA,34.0,5,26,3048,16093,167,33,10143
2015-04-25 00:40:00+00:00,KBNA,20.0,5,36,1829,16093,156,61,10132
2015-04-27 19:25:00+00:00,KBNA,40.0,5,62,7620,16093,189,33,10147
2015-04-27 22:36:00+00:00,KBNA,78.0,5,31,22000,16093,189,33,10139
2015-04-27 23:40:00+00:00,KBNA,17.0,5,46,22000,16093,167,39,10136
2015-05-02 12:35:00+00:00,KBNA,252.0,5,15,22000,16093,83,67,10203
2015-05-06 10:00:00+00:00,KBNA,235.0,5,21,1981,16093,156,139,10219
2015-05-06 11:20:00+00:00,KBNA,168.0,5,21,1981,16093,156,139,10219
2015-05-06 12:45:00+00:00,KBNA,86.0,5,15,22000,14484,194,144,10228
2015-05-08 20:45:00+00:00,KBNA,138.0,5,57,7620,16093,311,117,10163
2015-05-08 23:50:00+00:00,KBNA,122.0,5,15,7620,16093,272,128,10160
2015-05-09 02:05:00+00:00,KBNA,80.0,5,26,7620,16093,250,167,10165
2015-05-10 14:15:00+00:00,KBNA,15.0,5,26,7620,16093,239,183,10191
2015-05-10 14:30:00+00:00,KBNA,258.0,5,26,5182,16093,278,178,10192
2015-05-10 22:05:00+00:00,KBNA,17.0,5,36,6096,16093,306,156,10165
2015-05-11 12:50:00+00:00,KBNA,28.0,5,26,7620,16093,250,183,10168
2015-05-11 16:16:00+00:00,KBNA,4.0,5,46,4572,16093,283,161,10172
2015-05-15 16:37:00+00:00,KBNA,53.0,5,41,1402,16093,278,189,10218
2015-05-17 18:26:00+00:00,KBNA,2.0,5,77,1372,16093,289,206,10199
2015-05-18 16:50:00+00:00,KBNA,212.0,5,21,3658,16093,267,189,10211
2015-05-18 22:30:00+00:00,KBNA,2.0,5,36,22000,16093,267,194,10193
2015-05-19 02:05:00+00:00,KBNA,118.0,5,21,22000,16093,244,189,10194
2015-05-19 14:45:00+00:00,KBNA,56.0,5,21,335,9656,211,183,10210
2015-05-19 20:45:00+00:00,KBNA,15.0,5,26,22000,16093,261,172,10185
2015-05-21 16:37:00+00:00,KBNA,61.0,5,46,396,12875,128,89,10202
2015-05-23 20:40:00+00:00,KBNA,118.0,5,31,3658,16093,278,117,10245
2015-05-23 20:55:00+00:00,KBNA,197.0,5,31,3658,16093,278,117,10245
2015-05-25 19:25:00+00:00,KBNA,259.0,5,62,3962,16093,228,206,10200
2015-05-25 23:40:00+00:00,KBNA,7.0,5,36,7620,16093,217,194,10189
2015-05-26 18:55:00+00:00,KBNA,80.0,5,57,2743,16093,261,206,10172
2015-05-26 19:25:00+00:00,KBNA,75.0,5,31,1067,11265,200,194,10174
2015-05-26 19:31:00+00:00,KBNA,58.0,5,31,1067,11265,200,194,10174
2015-05-26 21:10:00+00:00,KBNA,3.0,5,26,792,16093,250,217,10172
2015-05-26 21:45:00+00:00,KBNA,15.0,5,26,792,16093,250,217,10172
2015-05-26 23:45:00+00:00,KBNA,122.0,5,41,7620,16093,256,206,10173
2015-05-27 00:00:00+00:00,KBNA,184.0,5,41,7620,16093,256,206,10173
2015-05-27 18:05:00+00:00,KBNA,3.0,5,41,4877,16093,278,200,10206
2015-05-27 18:20:00+00:00,KBNA,27.0,5,41,4877,16093,278,200,10206
2015-05-27 18:55:00+00:00,KBNA,18.0,5,31,2896,4828,206,178,10222
2015-05-27 19:31:00+00:00,KBNA,7.0,5,15,2896,16093,211,189,10223
2015-05-28 00:40:00+00:00,KBNA,34.0,5,15,5182,16093,211,200,10205
2015-05-30 17:50:00+00:00,KBNA,9.0,5,21,1463,8047,217,194,10179
2015-05-30 17:50:00+00:00,KBNA,23.0,5,21,1463,8047,217,194,10179
2015-05-30 19:31:00+00:00,KBNA,47.0,5,62,22000,16093,256,200,10168
2015-05-30 20:45:00+00:00,KBNA,47.0,5,46,3353,16093,256,211,10161
2015-05-31 20:45:00+00:00,KBNA,4.0,5,41,1524,12875,233,206,10151
2015-06-02 00:45:00+00:00,KBNA,23.0,5,36,549,4828,183,167,10177
2015-06-02 19:25:00+00:00,KBNA,193.0,5,21,579,16093,200,150,10175
2015-06-03 13:50:00+00:00,KBNA,33.0,5,15,427,16093,183,144,10172
2015-06-08 02:15:00+00:00,KBNA,31.0,5,15,22000,16093,272,189,10130
2015-06-08 18:30:00+00:00,KBNA,42.0,5,26,4267,16093,283,217,10118
2015-06-08 19:55:00+00:00,KBNA,31.0,5,31,6096,16093,278,206,10111
2015-06-08 20:40:00+00:00,KBNA,90.0,5,46,823,805,206,194,10131
2015-06-08 20:50:00+00:00,KBNA,26.0,5,46,823,805,206,194,10131
2015-06-08 21:06:00+00:00,KBNA,185.0,5,46,823,805,206,194,10131
2015-06-08 21:20:00+00:00,KBNA,89.0,5,46,823,805,206,194,10131
2015-06-08 21:26:00+00:00,KBNA,1.0,5,31,1189,6437,206,194,10129
2015-06-08 22:31:00+00:00,KBNA,5.0,5,15,22000,16093,211,200,10116
2015-06-08 22:35:00+00:00,KBNA,63.0,5,15,22000,16093,211,200,10116
2015-06-08 23:05:00+00:00,KBNA,3.0,5,15,22000,16093,211,200,10116
2015-06-08 23:05:00+00:00,KBNA,19.0,5,15,22000,16093,211,200,10116
2015-06-08 23:35:00+00:00,KBNA,48.0,5,15,3048,16093,211,194,10114
2015-06-09 01:40:00+00:00,KBNA,43.0,5,15,7620,16093,206,200,10115
2015-06-09 02:15:00+00:00,KBNA,91.0,5,15,7620,16093,206,200,10115
2015-06-09 12:45:00+00:00,KBNA,18.0,5,21,22000,11265,211,211,10133
2015-06-09 20:05:00+00:00,KBNA,29.0,5,15,22000,16093,311,167,10107
2015-06-09 21:06:00+00:00,KBNA,251.0,5,15,22000,16093,311,167,10107
2015-06-09 21:20:00+00:00,KBNA,20.0,5,15,22000,16093,311,167,10107
2015-06-09 22:31:00+00:00,KBNA,36.0,5,31,22000,16093,300,167,10097
2015-06-09 23:41:00+00:00,KBNA,156.0,5,26,22000,16093,300,172,10100
2015-06-11 02:15:00+00:00,KBNA,75.0,5,21,22000,16093,244,194,10116
2015-06-11 20:43:00+00:00,KBNA,10.0,5,31,22000,16093,317,189,10120
2015-06-12 00:35:00+00:00,KBNA,109.0,5,15,7620,16093,278,189,10119
2015-06-13 22:12:00+00:00,KBNA,10.0,5,36,22000,16093,311,194,10165
2015-06-13 23:30:00+00:00,KBNA,55.0,5,36,22000,16093,300,194,10168
2015-06-14 01:50:00+00:00,KBNA,67.0,5,15,22000,16093,283,200,10174
2015-06-15 19:26:00+00:00,KBNA,308.0,5,36,1981,16093,333,194,10177
2015-06-15 19:55:00+00:00,KBNA,29.0,5,36,1981,16093,333,194,10177
2015-06-15 22:50:00+00:00,KBNA,12.0,5,41,22000,16093,322,194,10163
2015-06-16 19:23:00+00:00,KBNA,7.0,5,51,22000,16093,333,200,10185
2015-06-16 22:12:00+00:00,KBNA,638.0,5,51,22000,16093,339,189,10171
2015-06-18 11:15:00+00:00,KBNA,155.0,5,26,6096,16093,256,211,10182
2015-06-18 11:20:00+00:00,KBNA,125.0,5,26,6096,16093,256,211,10182
2015-06-18 18:30:00+00:00,KBNA,67.0,5,36,22000,16093,317,222,10168
2015-06-18 19:23:00+00:00,KBNA,54.0,5,36,22000,16093,317,222,10168
2015-06-18 20:43:00+00:00,KBNA,54.0,5,15,7010,16093,289,250,10161
2015-06-19 17:00:00+00:00,KBNA,7.0,5,36,22000,16093,306,233,10149
2015-06-19 22:40:00+00:00,KBNA,131.0,5,46,1829,16093,233,211,10124
2015-06-20 17:49:00+00:00,KBNA,11.0,5,31,1006,16093,272,217,10153
2015-06-21 22:35:00+00:00,KBNA,2.0,5,26,22000,16093,322,233,10158
2015-06-23 18:00:00+00:00,KBNA,41.0,5,31,22000,16093,322,239,10180
2015-06-23 19:50:00+00:00,KBNA,47.0,5,36,22000,16093,328,244,10175
2015-06-23 21:35:00+00:00,KBNA,117.0,5,21,1463,16093,328,250,10159
2015-06-23 22:10:00+00:00,KBNA,157.0,5,21,1463,16093,328,250,10159
2015-06-24 00:20:00+00:00,KBNA,117.0,5,36,1463,16093,322,250,10161
2015-06-24 01:00:00+00:00,KBNA,26.0,5,36,1463,16093,322,250,10161
2015-06-24 01:00:00+00:00,KBNA,27.0,5,36,1463,16093,322,250,10161
